"ds","y"
"2016-12-19 19:00:00",0.0000
"2016-12-19 20:00:00",0.0000
"2016-12-19 23:00:00",0.0000
"2016-12-20 23:00:00",0.0000
"2016-12-21 23:00:00",0.0000
"2016-12-22 23:00:00",0.0000
"2016-12-23 23:00:00",0.0000
"2016-12-24 23:00:00",0.0000
"2016-12-25 23:00:00",0.0000
"2016-12-26 23:00:00",0.0000
"2016-12-27 16:00:00",0.0253
"2016-12-27 17:00:00",0.1063
"2016-12-27 18:00:00",0.1241
"2016-12-27 19:00:00",0.3443
"2016-12-27 20:00:00",0.3797
"2016-12-27 21:00:00",0.4785
"2016-12-27 22:00:00",0.6304
"2016-12-27 23:00:00",0.7089
"2016-12-28 16:00:00",0.8709
"2016-12-28 17:00:00",1.3848
"2016-12-28 18:00:00",1.6937
"2016-12-28 19:00:00",1.9190
"2016-12-28 20:00:00",1.9595
"2016-12-28 23:00:00",1.9595
"2016-12-29 23:00:00",1.9595
"2016-12-30 23:00:00",1.9595
"2016-12-31 23:00:00",1.9595
"2017-01-01 23:00:00",1.9595
"2017-01-02 23:00:00",1.9595
"2017-01-03 23:00:00",1.9595
"2017-01-04 11:00:00",2.0405
"2017-01-04 12:00:00",2.2253
"2017-01-04 13:00:00",2.5595
"2017-01-04 15:00:00",2.7190
"2017-01-04 16:00:00",3.1190
"2017-01-04 17:00:00",3.4076
"2017-01-04 18:00:00",3.7494
"2017-01-04 19:00:00",3.9620
"2017-01-04 20:00:00",4.3848
"2017-01-04 21:00:00",4.7671
"2017-01-04 22:00:00",5.3949
"2017-01-04 23:00:00",6.0430
"2017-01-05 10:00:00",6.0430
"2017-01-05 11:00:00",6.0633
"2017-01-05 12:00:00",6.1342
"2017-01-05 13:00:00",6.2633
"2017-01-05 14:00:00",6.2962
"2017-01-05 15:00:00",6.6734
"2017-01-05 16:00:00",6.9899
"2017-01-05 17:00:00",7.3038
"2017-01-05 18:00:00",7.6405
"2017-01-05 19:00:00",8.0937
"2017-01-05 20:00:00",8.3772
"2017-01-05 21:00:00",8.5392
"2017-01-05 23:00:00",8.5392
"2017-01-06 10:00:00",8.5848
"2017-01-06 11:00:00",8.7494
"2017-01-06 12:00:00",8.9494
"2017-01-06 14:00:00",9.2000
"2017-01-06 15:00:00",9.4835
"2017-01-06 16:00:00",10.1190
"2017-01-06 17:00:00",10.5266
"2017-01-06 18:00:00",11.2684
"2017-01-06 19:00:00",11.7696
"2017-01-06 20:00:00",12.3038
"2017-01-06 23:00:00",12.3038
"2017-01-07 23:00:00",12.3038
"2017-01-08 23:00:00",12.3038
"2017-01-09 23:00:00",12.3038
"2017-01-10 11:00:00",12.3443
"2017-01-10 12:00:00",12.6405
"2017-01-10 13:00:00",13.0152
"2017-01-10 14:00:00",13.3316
"2017-01-10 15:00:00",13.5823
"2017-01-10 16:00:00",13.8759
"2017-01-10 17:00:00",14.0937
"2017-01-10 18:00:00",14.3924
"2017-01-10 19:00:00",14.6633
"2017-01-10 20:00:00",14.6861
"2017-01-10 23:00:00",14.6861
"2017-01-11 11:00:00",14.7089
"2017-01-11 12:00:00",14.7595
"2017-01-11 14:00:00",14.7975
"2017-01-11 15:00:00",14.9215
"2017-01-11 16:00:00",15.0076
"2017-01-11 17:00:00",15.2177
"2017-01-11 18:00:00",15.3949
"2017-01-11 19:00:00",15.6405
"2017-01-11 20:00:00",15.7241
"2017-01-11 23:00:00",15.7241
"2017-01-12 11:00:00",15.7823
"2017-01-12 12:00:00",15.9975
"2017-01-12 14:00:00",16.1671
"2017-01-12 15:00:00",16.5139
"2017-01-12 16:00:00",16.8886
"2017-01-12 17:00:00",17.2278
"2017-01-12 18:00:00",17.6278
"2017-01-12 19:00:00",18.1823
"2017-01-12 20:00:00",18.2658
"2017-01-12 23:00:00",18.2658
"2017-01-13 10:00:00",18.2709
"2017-01-13 11:00:00",18.4886
"2017-01-13 12:00:00",18.9873
